Book_ID,Title,Writer_ID,Genre_ID,Publication_Year,Availability_Status,Description,Cover_Image
BK001,Pride and Prejudice,WT001,GN001,1813,Available,"A witty, romantic story about Elizabeth Bennet and Mr. Darcy, exploring themes of love, class, and social expectations in 19th-century England.",BK001.jpeg
BK002,To Kill a Mockingbird,WT002,GN001,1960,Available,A young girl’s perspective on racial injustice and moral growth in the American South during the 1930s.,BK002.jpeg
BK003,1984,WT003,GN002,1949,Available,A dystopian novel depicting a totalitarian society under constant surveillance by Big Brother.,BK003.jpeg
BK004,The Great Gatsby,WT004,GN001,1925,Available,A portrayal of the American Dream's decay through the tragic story of Jay Gatsby and his unrequited love for Daisy Buchanan.,BK004.jpeg
BK005,Moby-Dick,WT005,GN001,1851,Available,"A complex tale of Captain Ahab’s obsessive quest to kill the white whale, Moby Dick, symbolizing human struggle and ambition.",BK005.jpeg
BK006,War and Peace,WT006,GN001,1869,Available,"An epic tale of Russian aristocrats during the Napoleonic Wars, exploring themes of love, honor, and history.",BK006.jpeg
BK007,Crime and Punishment,WT007,GN001,1866,Available,A psychological drama about a man’s guilt and redemption after committing murder in 19th-century Russia.,BK007.jpeg
BK008,The Catcher in the Rye,WT008,GN001,1951,Available,"A coming-of-age novel about Holden Caulfield’s search for identity and meaning in a confusing, hypocritical world.",BK008.jpeg
BK009,Wuthering Heights,WT009,GN001,1847,Available,"A dark tale of love, revenge, and passion on the isolated Yorkshire moors.",BK009.jpeg
BK010,Brave New World,WT010,GN002,1932,Available,"A dystopian view of a society driven by technological control, consumerism, and instant gratification.",BK010.jpeg
BK011,Dune,WT011,GN002,1965,Available,"An epic saga of political intrigue, religion, and survival on the desert planet of Arrakis.",BK011.jpeg
BK012,The Lord of the Rings,WT012,GN002,1954,Available,The heroic quest of Frodo and friends to destroy the One Ring and defeat the dark lord Sauron.,BK012.jpeg
BK013,Neuromancer,WT013,GN002,1984,Available,"A cyberpunk classic that explores artificial intelligence, cyberspace, and the future of technology.",BK013.jpeg
BK014,The Left Hand of Darkness,WT014,GN002,1969,Available,A journey of political intrigue and friendship on a planet where inhabitants can change gender.,BK014.jpeg
BK015,Foundation,WT015,GN002,1951,Available,A story of a scientist’s attempt to save civilization by predicting and controlling the future through the science of psychohistory.,BK015.jpeg
BK016,The Hobbit,WT016,GN002,1937,Available,Bilbo Baggins’s journey from a simple hobbit to a hero in a quest for a dragon’s treasure.,BK016.jpeg
BK017,Fahrenheit 451,WT017,GN002,1953,Available,"A dystopian story about a future where books are banned, and firemen burn them to maintain social order.",BK017.jpeg
BK018,Snow Crash,WT018,GN002,1992,Available,"A fast-paced, virtual-reality cyberpunk adventure with elements of linguistics, history, and religion.",BK018.jpeg
BK019,Ender's Game,WT019,GN002,1985,Available,A young boy is recruited to train in a battle school for children to save humanity from an alien threat.,BK019.jpeg
BK020,American Gods,WT020,GN002,2001,Available,An American road-trip story blending mythology and modern-day gods competing for relevance.,BK020.jpeg
BK021,Gone Girl,WT021,GN003,2012,Available,A twisted psychological thriller about a missing wife and the secrets in a troubled marriage.,BK021.jpeg
BK022,The Girl with the Dragon Tattoo,WT022,GN003,2005,Available,A dark mystery about a journalist and a hacker uncovering family secrets and corporate corruption,BK022.jpeg
BK023,Sherlock Holmes: The Complete Novels and Stories,WT023,GN003,1887,Available,"A collection of the famous detective’s cases, showcasing his deductive brilliance.",BK023.jpeg
BK024,And Then There Were None,WT024,GN003,1939,Available,"Ten strangers are invited to an island, where they are killed one by one in a mysterious pattern.",BK024.jpeg
BK025,The Da Vinci Code,WT025,GN003,2003,Available,A suspenseful chase to uncover a hidden religious truth that could change history.,BK025.jpeg
BK026,In the Woods,WT026,GN003,2007,Available,A detective grapples with a haunting childhood memory while investigating a present-day murder in his hometown.,BK026.jpeg
BK027,Rebecca,WT027,GN003,1938,Available,"A gothic thriller about a woman haunted by her husband’s first wife, Rebecca, at an eerie English estate.",BK027.jpeg
BK028,Big Little Lies,WT028,GN003,2014,Available,"A mystery about the intertwining lives of three women in a small town, culminating in murder.",BK028.jpeg
BK029,The Silence of the Lambs,WT029,GN003,1988,Available,FBI trainee Clarice Starling faces the terrifying serial killer Hannibal Lecter to catch another killer.,BK029.jpeg
BK030,The Maltese Falcon,WT030,GN003,1930,Available,A hard-boiled detective thriller about betrayal and the hunt for a priceless statuette.,BK030.jpeg
BK031,Jane Eyre,WT031,GN004,1847,Available,"A young orphan’s journey to independence, love, and self-respect despite numerous hardships.",BK031.jpeg
BK032,Outlander,WT032,GN004,1991,Available,A time-travel romance between a WWII nurse and a Scottish Highland warrior in 1743.,BK032.jpeg
BK033,Gone with the Wind,WT033,GN004,1936,Available,A tale of romance and survival set against the backdrop of the American Civil War.,BK033.jpeg
BK035,Me Before You,WT035,GN004,2012,Available,The emotional story of a young woman and the paralyzed man she is hired to care for.,BK035.jpeg
BK036,The Time Traveler’s Wife,WT036,GN004,2003,Available,A tale of a couple navigating a relationship complicated by the husband's involuntary time travel.,BK036.jpeg
BK037,Twilight,WT037,GN004,2005,Available,"A romance between a teenage girl and a vampire, sparking a love triangle and a supernatural conflict.",BK037.jpeg
BK038,The Hating Game,WT038,GN004,2016,Available,A modern romantic comedy about two workplace rivals with undeniable chemistry.,BK038.jpeg
BK039,Eleanor & Park,WT039,GN004,2013,Available,A sweet story of two outsiders who fall in love despite social and personal challenges.,BK039.jpeg
BK041,Dracula,WT039,GN005,1897,Available,The classic vampire story about Count Dracula’s invasion of England and the fight against him.,BK041.jpeg
BK042,Frankenstein,WT040,GN005,1818,Available,"A tale of a scientist’s creation that turns against him, exploring themes of humanity and monstrosity.",BK042.jpeg
BK043,It,WT041,GN005,1986,Available,A horror novel about a group of friends confronting a shape-shifting monster that feeds on fear.,BK043.jpeg
BK044,The Haunting of Hill House,WT042,GN005,1959,Available,A psychological horror about a haunted mansion and its effect on those who enter.,BK044.jpeg
BK045,The Exorcist,WT043,GN005,1971,Available,The terrifying story of a young girl possessed by a demon and the priest who tries to save her.,BK045.jpeg
BK046,Bird Box,WT044,GN005,2014,Available,A post-apocalyptic horror where people must avoid seeing mysterious creatures that drive them to madness.,BK046.jpeg
